Sqr Ft,Longitude,Latitude,Lot Size,Beds,Bath,Year Built,Days On Trulia,Zipcode,Days on Market,City_atlanta,City_aurora,City_baltimore,City_denver,City_fort wayne,City_jacksonville,City_los angeles,City_orlando,City_tampa,City_washington,State_ca,State_co,State_dc,State_fl,State_ga,State_in,State_md,day_of_week_listed_Friday,day_of_week_listed_Monday,day_of_week_listed_Saturday,day_of_week_listed_Sunday,day_of_week_listed_Thursday,day_of_week_listed_Tuesday,day_of_week_listed_Wednesday
1272,-81.443344,30.3,9321.0,3.0,2.0,1986.0,20.0,32224.0,54,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1267,-81.702835,30.247904,8859.0,3.0,1.0,1942.0,57.0,32210.0,91,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1056,-118.30535,34.017014,5408.0,3.0,2.0,1920.0,16.0,90062.0,50,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
954,-81.31274,28.497942,3804.0,2.0,2.0,1984.0,5.0,32812.0,39,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3608,-104.90754,39.643574,9700.0,4.0,3.0,1973.0,90.0,80237.0,124,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1942,-81.49746,28.557346,10458.0,3.0,2.0,1992.0,57.0,32818.0,91,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1736,-81.71437,30.298553,10655.0,3.0,2.0,1936.0,42.0,32205.0,76,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1680,-84.38636,33.710907,7000.0,3.0,2.0,1920.0,180.0,30315.0,214,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1694,-104.96929,39.757698,3260.0,4.0,2.0,1902.0,7.0,80205.0,42,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1286,-81.570564,30.304367,9817.0,3.0,2.0,1981.0,22.0,32216.0,57,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2614,-81.63287,30.185017,68389.2,3.0,3.0,1978.0,180.0,32257.0,215,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1267,-82.509674,27.882256,10703.0,3.0,2.0,1958.0,95.0,33616.0,130,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4809,-104.954994,39.68918,6250.0,6.0,6.0,1942.0,55.0,80210.0,91,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1546,-84.436005,33.75856,7405.0,3.0,3.0,2006.0,2.0,30314.0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1922,-104.92735,39.69125,13503.6,3.0,2.0,1954.0,2.0,80222.0,30,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1337,-81.26259,28.50355,9508.0,4.0,2.0,1978.0,16.0,32829.0,52,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2836,-81.497826,28.444738,5066.0,4.0,4.0,2002.0,26.0,32836.0,62,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3450,-118.36246,34.066093,6197.0,4.0,5.0,2018.0,180.0,90048.0,216,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1050,-84.50194,33.7646,9248.0,3.0,2.0,1961.0,53.0,30331.0,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1356,-82.448616,28.027666,5000.0,4.0,3.0,1946.0,85.0,33604.0,120,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1884,-81.5086,28.53338,10879.0,4.0,2.0,1985.0,62.0,32835.0,98,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1100,-81.57229,30.345596,8363.0,3.0,2.0,1962.0,73.0,32211.0,109,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1008,-118.251144,34.071125,2604.0,2.0,1.0,2014.0,3.0,90026.0,25,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4695,-84.44864,33.82357,9731.0,4.0,5.0,2003.0,180.0,30318.0,219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1502,-81.27417,28.493406,8280.0,4.0,3.0,1971.0,10.0,32822.0,49,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5840,-82.52476,27.922394,13068.0,5.0,6.0,1957.0,180.0,33629.0,218,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2761,-118.503494,34.077374,16988.4,5.0,4.0,1964.0,13.0,90049.0,52,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
