State,Address,City,sale_price,sale_date,Sqr Ft,Longitude,Latitude,Lot Size,Beds,Bath,Year Built,Days On Trulia,Zipcode,listing_date,Days on Market
fl,8251 cyers ln,orlando,187000,2019-10-28,1502,-81.27417,28.493406,8280.0,4.0,3.0,1971.0,10.0,32822.0,2019-09-09,49
fl,4807 w sunset blvd,tampa,2034500,2019-10-28,5840,-82.52476,27.922394,13068.0,5.0,6.0,1957.0,180.0,33629.0,2019-03-24,218
ca,13260 ponderosa dr,los angeles,2818528,2019-10-28,2761,-118.503494,34.077374,16988.4,5.0,4.0,1964.0,13.0,90049.0,2019-09-06,52
fl,15104 naturewalk dr,tampa,275000,2019-10-28,1930,-82.51528,28.088133,9315.0,4.0,2.0,1983.0,31.0,33624.0,2019-08-20,69
fl,14254 southern red maple dr,orlando,337000,2019-10-28,2856,-81.14485,28.524483,5175.0,4.0,3.0,2004.0,35.0,32828.0,2019-08-15,74
fl,4523 pine hollow dr,tampa,308000,2019-10-28,1939,-82.51911,28.064789,9120.0,3.0,2.0,1981.0,2.0,33624.0,2019-09-17,41
co,2985 e 132nd ave,thornton,384000,2019-10-28,2200,-104.9497,39.93437,7841.0,5.0,3.0,1978.0,3.0,80241.0,2019-09-24,34
ga,2006 ben hill ct sw,atlanta,0,2019-10-29,2434,-84.505684,33.69926,14810.4,4.0,3.0,1993.0,98.0,30331.0,2019-06-13,138
fl,1717 se lambright st,tampa,189000,2019-10-29,1110,-82.43981,28.005362,7000.0,3.0,2.0,1951.0,115.0,33610.0,2019-05-28,154
fl,1315 dunns lake dr,jacksonville,196600,2019-10-29,3500,-81.6084,30.460258,13503.6,4.0,2.5,2005.0,4.0,32218.0,2019-10-08,21
in,6507 hill rise dr,fort wayne,97000,2019-10-29,1632,-85.22497,41.064484,118483.2,3.0,2.0,1975.0,2.0,46804.0,2019-09-20,39
ga,804 brandywine cir,sandy springs,240000,2019-10-29,2352,-84.3373,34.004753,2352.0,3.0,3.0,1970.0,27.0,30350.0,2019-08-23,67
fl,1060 fountain coin loop,orlando,330000,2019-10-29,2934,-81.156075,28.55167,5469.0,4.0,4.0,2013.0,180.0,32828.0,2019-03-23,220
dc,1928 shepherd st ne,washington,680000,2019-10-29,1848,-76.97696,38.93989,4258.0,4.0,3.0,1936.0,15.0,20018.0,2019-09-04,55
fl,6949 pitts rd,jacksonville,349900,2019-10-29,2716,-81.75962,30.427773,124581.6,3.0,3.0,1968.0,2.0,32219.0,2019-09-22,37
fl,3157 mattson dr,orlando,315000,2019-10-29,2248,-81.2208,28.506927,9167.0,4.0,3.0,2002.0,55.0,32825.0,2019-07-26,95
fl,9320 fairway lakes ct,tampa,260000,2019-10-29,1753,-82.34205,28.147902,6490.0,3.0,2.0,1989.0,4.0,33647.0,2019-09-16,43
dc,4414 42nd st nw,washington,1207000,2019-10-30,2201,-77.08227,38.946926,4588.0,3.0,3.0,1941.0,5.0,20016.0,2019-09-26,34
co,11841 birch dr,thornton,395000,2019-10-30,2080,-104.933945,39.912163,11761.2,3.0,3.0,1981.0,25.0,80233.0,2019-09-05,55
fl,8525 redleaf ln,orlando,525000,2019-10-30,3731,-81.49832,28.48438,22215.6,4.0,4.0,1990.0,180.0,32819.0,2019-03-23,221
dc,1704 4th st nw,washington,875000,2019-10-30,2379,-77.01645,38.913048,1360.0,3.0,3.0,1900.0,5.0,20001.0,2019-09-14,46
fl,1508 sharonhill dr,jacksonville,239000,2019-10-30,1935,-81.57581,30.337845,9939.0,3.0,3.0,1961.0,20.0,32211.0,2019-08-30,61
ca,3645 greenwood ave,los angeles,1262512,2019-10-30,1108,-118.445045,34.002804,4781.0,2.0,2.0,1949.0,9.0,90066.0,2019-09-10,50
ca,3061 knoxville ave,long beach,825008,2019-10-30,1447,-118.10456,33.812336,8031.0,3.0,3.0,1952.0,3.0,90808.0,2019-10-12,18
ga,719 florence pl nw,atlanta,295000,2019-10-30,2310,-84.44163,33.774563,7749.0,4.0,4.0,1949.0,111.0,30318.0,2019-05-31,152
ca,4924 seldner ave,los angeles,545005,2019-10-30,1536,-118.17573,34.06392,4695.0,5.0,2.0,1983.0,180.0,90032.0,2019-03-26,218
co,2711 n vine st,denver,637500,2019-10-30,2103,-104.96257,39.756027,4690.0,2.0,2.0,1906.0,57.0,80205.0,2019-07-24,98
co,13246 clarkson st,thornton,441000,2019-10-30,2891,-104.9771,39.937023,7405.0,4.0,4.0,1995.0,2.0,80241.0,2019-09-25,35
co,2301 florence st,aurora,340000,2019-10-30,1248,-104.871895,39.75129,6534.0,4.0,2.0,2001.0,13.0,80010.0,2019-09-06,54
ga,369 provenance dr,sandy springs,412450,2019-10-31,2123,-84.3761,33.9314,189050.4,3.0,4.0,2019.0,121.0,30328.0,2019-05-21,163
ga,2675 birchwood dr ne,atlanta,970000,2019-10-31,5169,-84.37343,33.827515,15681.6,5.0,6.0,1948.0,141.0,30305.0,2019-05-01,183
ca,1028 ardmore st,riverside,320000,2019-10-31,884,-117.34649,34.004314,6969.0,2.0,1.0,1963.0,35.0,92507.0,2019-08-15,77
fl,12107 midlake dr,tampa,239000,2019-10-31,1770,-82.47267,28.058626,10200.0,2.0,2.0,1957.0,42.0,33612.0,2019-08-08,84
fl,18912 nest fern cir,tampa,300000,2019-10-31,2422,-82.36985,28.145658,11325.6,4.0,3.0,2002.0,18.0,33647.0,2019-09-01,60
fl,8207 village green rd,orlando,220000,2019-10-31,1542,-81.49634,28.564432,8703.0,3.0,2.0,1979.0,48.0,32818.0,2019-08-02,90
ga,310 oak dr se,atlanta,100000,2019-10-31,1325,-84.3832,33.668713,14374.8,4.0,2.0,1960.0,90.0,30354.0,2019-06-21,132
in,618 tennessee ave,fort wayne,59500,2019-10-31,1057,-85.13292,41.08913,5084.0,2.0,2.0,1950.0,7.0,46805.0,2019-09-12,49
